epoch,lr-AdamW,step,test/acc,test/f1_macro,test/f1_weighted,test/loss,test/precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1_macro,val/f1_weighted,val/loss,val/precision,val/recall
9,,1979,,,,,,,0.9632983803749084,0.5884160399436951,,,,,,,
,9.757729755661012e-05,1980,,,,,,,,,,,,,,,
10,,1989,,,,,,,,,0.5353577136993408,,,,,,
10,,1999,,,,,,,,,0.550293505191803,,,,,,
10,,2009,,,,,,,,,0.5840438604354858,,,,,,
10,,2019,,,,,,,,,0.6218670606613159,,,,,,
10,,2029,,,,,,,,,0.5742682218551636,,,,,,
10,,2039,,,,,,,,,0.4639103412628174,,,,,,
10,,2049,,,,,,,,,0.5772897601127625,,,,,,
10,,2059,,,,,,,,,0.5769801735877991,,,,,,
10,,2069,,,,,,,,,0.5975683331489563,,,,,,
10,,2079,,,,,,,,,0.6477755308151245,,,,,,
10,,2089,,,,,,,,,0.577250599861145,,,,,,
10,,2099,,,,,,,,,0.5672321915626526,,,,,,
10,,2109,,,,,,,,,0.687853217124939,,,,,,
10,,2119,,,,,,,,,0.5382340550422668,,,,,,
10,,2129,,,,,,,,,0.531708836555481,,,,,,
10,,2139,,,,,,,,,0.5135491490364075,,,,,,
10,,2149,,,,,,,,,0.661878228187561,,,,,,
10,,2159,,,,,,,,,0.5555908679962158,,,,,,
10,,2169,,,,,,,,,0.660567581653595,,,,,,
10,,2177,,,,,,,,,,0.9325308799743652,0.9042048454284668,0.9345043897628784,0.8011571764945984,0.9040082693099976,0.9137169122695923
10,,2177,,,,,,,0.9661855101585388,0.5791425108909607,,,,,,,
,9.707359806323419e-05,2178,,,,,,,,,,,,,,,
11,,2179,,,,,,,,,0.5098694562911987,,,,,,
11,,2189,,,,,,,,,0.6514263153076172,,,,,,
11,,2199,,,,,,,,,0.5565775632858276,,,,,,
11,,2209,,,,,,,,,0.5453140139579773,,,,,,
11,,2219,,,,,,,,,0.6473099589347839,,,,,,
11,,2229,,,,,,,,,0.5371875166893005,,,,,,
11,,2239,,,,,,,,,0.5911634564399719,,,,,,
11,,2249,,,,,,,,,0.6626788377761841,,,,,,
11,,2259,,,,,,,,,0.6055559515953064,,,,,,
11,,2269,,,,,,,,,0.5191161632537842,,,,,,
11,,2279,,,,,,,,,0.5424013733863831,,,,,,
11,,2289,,,,,,,,,0.594412088394165,,,,,,
11,,2299,,,,,,,,,0.5443004369735718,,,,,,
11,,2309,,,,,,,,,0.5608375072479248,,,,,,
11,,2319,,,,,,,,,0.49847692251205444,,,,,,
11,,2329,,,,,,,,,0.5805486440658569,,,,,,
11,,2339,,,,,,,,,0.6096940040588379,,,,,,
11,,2349,,,,,,,,,0.6067848801612854,,,,,,
11,,2359,,,,,,,,,0.5676435232162476,,,,,,
11,,2369,,,,,,,,,0.54179847240448,,,,,,
11,,2375,,,,,,,,,,0.9315806031227112,0.9200539588928223,0.9330991506576538,0.790386974811554,0.9107808470726013,0.9348157644271851
11,,2375,,,,,,,0.9683211445808411,0.5718811750411987,,,,,,,
,9.652393605146847e-05,2376,,,,,,,,,,,,,,,
12,,2379,,,,,,,,,0.6003479361534119,,,,,,
12,,2389,,,,,,,,,0.606005847454071,,,,,,
12,,2399,,,,,,,,,0.5284205675125122,,,,,,
12,,2409,,,,,,,,,0.6589652895927429,,,,,,
12,,2419,,,,,,,,,0.5397223234176636,,,,,,
12,,2429,,,,,,,,,0.542271077632904,,,,,,
12,,2439,,,,,,,,,0.5674313902854919,,,,,,
12,,2449,,,,,,,,,0.4433542788028717,,,,,,
12,,2459,,,,,,,,,0.6012550592422485,,,,,,
12,,2469,,,,,,,,,0.48593512177467346,,,,,,
12,,2479,,,,,,,,,0.5856896042823792,,,,,,
12,,2489,,,,,,,,,0.5616958141326904,,,,,,
12,,2499,,,,,,,,,0.5747395753860474,,,,,,
12,,2509,,,,,,,,,0.6098125576972961,,,,,,
12,,2519,,,,,,,,,0.5826452374458313,,,,,,
12,,2529,,,,,,,,,0.523008406162262,,,,,,
12,,2539,,,,,,,,,0.6104587316513062,,,,,,
12,,2549,,,,,,,,,0.6222737431526184,,,,,,
12,,2559,,,,,,,,,0.5776505470275879,,,,,,
12,,2569,,,,,,,,,0.5503201484680176,,,,,,
12,,2573,,,,,,,,,,0.9410833120346069,0.9177596569061279,0.9422609210014343,0.7632408142089844,0.9049956202507019,0.9355228543281555
12,,2573,,,,,,,0.9716432690620422,0.5642412304878235,,,,,,,
,9.592885397135708e-05,2574,,,,,,,,,,,,,,,
13,,2579,,,,,,,,,0.5438798069953918,,,,,,
13,,2589,,,,,,,,,0.5109963417053223,,,,,,
13,,2599,,,,,,,,,0.5665255784988403,,,,,,
13,,2609,,,,,,,,,0.6051262617111206,,,,,,
13,,2619,,,,,,,,,0.654948890209198,,,,,,
13,,2629,,,,,,,,,0.4634243845939636,,,,,,
13,,2639,,,,,,,,,0.599743127822876,,,,,,
13,,2649,,,,,,,,,0.5777038335800171,,,,,,
13,,2659,,,,,,,,,0.5601174831390381,,,,,,
13,,2669,,,,,,,,,0.4889718294143677,,,,,,
13,,2679,,,,,,,,,0.5894623398780823,,,,,,
13,,2689,,,,,,,,,0.5865747928619385,,,,,,
13,,2699,,,,,,,,,0.5617910027503967,,,,,,
13,,2709,,,,,,,,,0.5731823444366455,,,,,,
13,,2719,,,,,,,,,0.6163923144340515,,,,,,
13,,2729,,,,,,,,,0.5541501045227051,,,,,,
13,,2739,,,,,,,,,0.5580331683158875,,,,,,
13,,2749,,,,,,,,,0.4824918210506439,,,,,,
13,,2759,,,,,,,,,0.5575154423713684,,,,,,
13,,2769,,,,,,,,,0.554321825504303,,,,,,
13,,2771,,,,,,,,,,0.9394994974136353,0.922370195388794,0.9406578540802002,0.7609152793884277,0.9189128279685974,0.9298883080482483
13,,2771,,,,,,,0.9740161895751953,0.5572767853736877,,,,,,,
,9.5288939097068e-05,2772,,,,,,,,,,,,,,,
14,,2779,,,,,,,,,0.5349813103675842,,,,,,
14,,2789,,,,,,,,,0.6052104830741882,,,,,,
14,,2799,,,,,,,,,0.597054123878479,,,,,,
14,,2809,,,,,,,,,0.5200157761573792,,,,,,
14,,2819,,,,,,,,,0.5168594717979431,,,,,,
14,,2829,,,,,,,,,0.5526247620582581,,,,,,
14,,2839,,,,,,,,,0.5940922498703003,,,,,,
14,,2849,,,,,,,,,0.6089749336242676,,,,,,
14,,2859,,,,,,,,,0.5403298139572144,,,,,,
14,,2869,,,,,,,,,0.6232971549034119,,,,,,
14,,2879,,,,,,,,,0.6070812940597534,,,,,,
14,,2889,,,,,,,,,0.53641676902771,,,,,,
14,,2899,,,,,,,,,0.4735846221446991,,,,,,
14,,2909,,,,,,,,,0.5152333974838257,,,,,,
14,,2919,,,,,,,,,0.5699692964553833,,,,,,
14,,2929,,,,,,,,,0.6393969058990479,,,,,,
14,,2939,,,,,,,,,0.5282515287399292,,,,,,
14,,2949,,,,,,,,,0.5446323752403259,,,,,,
14,,2959,,,,,,,,,0.5291850566864014,,,,,,
14,,2969,,,,,,,,,0.5639649033546448,,,,,,
14,,2969,,,,,,,,,,0.94646817445755,0.9312075972557068,0.9471466541290283,0.7457706332206726,0.9271451830863953,0.9389039874076843
14,,2969,,,,,,,0.9768242239952087,0.5522839426994324,,,,,,,
,9.460482294732424e-05,2970,,,,,,,,,,,,,,,
15,,2979,,,,,,,,,0.5071094036102295,,,,,,
15,,2989,,,,,,,,,0.4862333834171295,,,,,,
15,,2999,,,,,,,,,0.5643340349197388,,,,,,
15,,3009,,,,,,,,,0.5721873641014099,,,,,,
15,,3019,,,,,,,,,0.5222305059432983,,,,,,
15,,3029,,,,,,,,,0.5509535074234009,,,,,,
15,,3039,,,,,,,,,0.5520081520080566,,,,,,
15,,3049,,,,,,,,,0.5252212285995483,,,,,,
15,,3059,,,,,,,,,0.5867724418640137,,,,,,
15,,3069,,,,,,,,,0.6153577566146851,,,,,,
15,,3079,,,,,,,,,0.5637544989585876,,,,,,
15,,3089,,,,,,,,,0.5147591829299927,,,,,,
15,,3099,,,,,,,,,0.46765708923339844,,,,,,
15,,3109,,,,,,,,,0.49694520235061646,,,,,,
15,,3119,,,,,,,,,0.5849868059158325,,,,,,
15,,3129,,,,,,,,,0.52415931224823,,,,,,
15,,3139,,,,,,,,,0.6097255945205688,,,,,,
15,,3149,,,,,,,,,0.5306997299194336,,,,,,
15,,3159,,,,,,,,,0.6471514701843262,,,,,,
15,,3167,,,,,,,,,,0.9493189454078674,0.9189168214797974,0.9500125646591187,0.7396208643913269,0.9147876501083374,0.9264984130859375
15,,3167,,,,,,,0.9768242239952087,0.5510458946228027,,,,,,,
,9.387718066217127e-05,3168,,,,,,,,,,,,,,,
16,,3169,,,,,,,,,0.6362626552581787,,,,,,
16,,3179,,,,,,,,,0.49915605783462524,,,,,,
16,,3189,,,,,,,,,0.5668034553527832,,,,,,
16,,3199,,,,,,,,,0.6572357416152954,,,,,,
16,,3209,,,,,,,,,0.479581356048584,,,,,,
16,,3219,,,,,,,,,0.47649049758911133,,,,,,
16,,3229,,,,,,,,,0.5257457494735718,,,,,,
16,,3239,,,,,,,,,0.5169258117675781,,,,,,
16,,3249,,,,,,,,,0.5284935235977173,,,,,,
16,,3259,,,,,,,,,0.5988729000091553,,,,,,
